squareMeters,numberOfRooms,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category,PoolAndYard,TheYearRange
5767,97,11,44551,7,3,1998,TRUE,FALSE,2516,5601,307,TRUE,4,586742.8,Luxury,has pool and has yard,from 1990 to 1999
59800,47,27,44815,6,9,2021,FALSE,FALSE,5075,3104,864,FALSE,4,5984462.1,Basic,has pool and no yard,after 2011
54836,25,53,64601,10,5,2020,TRUE,FALSE,5278,1059,313,TRUE,6,5492532,Basic,has pool and no yard,after 2011
54318,10,52,76737,4,2,1998,TRUE,TRUE,9580,3787,227,TRUE,1,5444967.8,Luxury,has pool and has yard,from 1990 to 1999
70021,52,28,95678,4,6,1992,FALSE,TRUE,4480,6919,680,TRUE,1,7005572.2,Basic,no pool and has yard,from 1990 to 1999
54368,11,20,55761,3,7,2021,FALSE,FALSE,231,1939,223,FALSE,8,5446398.1,Basic,has pool and has yard,after 2011
31421,29,68,67505,5,3,1999,TRUE,TRUE,8949,2080,630,FALSE,5,3147829.9,Basic,has pool and no yard,from 1990 to 1999
63053,6,28,45312,3,1,1997,FALSE,TRUE,8414,6270,939,TRUE,8,6315375.7,Basic,has pool and has yard,from 1990 to 1999
4187,89,17,7488,1,6,1994,TRUE,FALSE,186,2627,559,TRUE,2,421906.4,Basic,has pool and no yard,from 1990 to 1999
33108,82,83,52015,6,10,2016,TRUE,FALSE,6250,8751,552,TRUE,2,3316069.6,Basic,has pool and no yard,after 2011
64393,8,51,95335,4,1,1990,TRUE,FALSE,3835,2403,559,FALSE,6,6441378,Basic,no pool and no yard,from 1990 to 1999
93876,60,70,5484,2,1,1999,TRUE,TRUE,4086,5991,494,TRUE,8,9390891.9,Basic,has pool and no yard,from 1990 to 1999
67040,60,22,1690,4,8,1993,TRUE,FALSE,4817,5222,927,FALSE,0,6714247.3,Luxury,has pool and has yard,from 1990 to 1999
47938,17,68,64247,7,1,2013,FALSE,TRUE,327,209,352,TRUE,8,4797883.3,Basic,no pool and no yard,after 2011
39090,57,74,2922,4,9,2010,FALSE,FALSE,3572,8722,811,TRUE,6,3917691,Basic,no pool and has yard,from 2000 to 2010
43609,66,55,6739,4,9,2005,FALSE,TRUE,3388,2353,120,TRUE,7,4364910.5,Basic,no pool and no yard,from 2000 to 2010
41998,74,17,32039,6,1,1990,TRUE,FALSE,6838,4925,828,FALSE,9,4203344,Basic,no pool and has yard,from 1990 to 1999
36496,9,47,51526,5,1,2017,FALSE,TRUE,2768,6291,230,TRUE,0,3656368.7,Basic,has pool and no yard,after 2011
84016,15,55,63595,1,7,2016,TRUE,FALSE,3284,9879,641,FALSE,2,8410054.6,Basic,no pool and has yard,after 2011
3087,27,94,9283,3,10,2005,TRUE,TRUE,5866,3557,199,TRUE,1,321717.5,Luxury,has pool and has yard,from 2000 to 2010
89768,48,17,71000,6,9,1993,FALSE,TRUE,2485,108,864,FALSE,7,8980518.3,Basic,has pool and has yard,from 1990 to 1999
30226,74,87,71053,10,9,2007,FALSE,FALSE,515,13,223,FALSE,4,3039243.7,Basic,has pool and has yard,from 2000 to 2010
58478,5,35,5898,6,10,2016,FALSE,FALSE,8366,4799,979,TRUE,7,5853710.6,Basic,has pool and no yard,after 2011
66621,48,89,52165,10,1,1995,TRUE,TRUE,5024,8103,388,TRUE,4,6666403.5,Basic,no pool and no yard,from 1990 to 1999
73314,43,38,49895,10,1,2018,FALSE,TRUE,3281,5020,968,FALSE,8,7336538.8,Basic,has pool and no yard,after 2011
59972,28,18,32083,9,8,2021,TRUE,TRUE,8384,7226,226,TRUE,4,6000826.1,Basic,has pool and no yard,after 2011
71591,20,58,46834,7,4,1998,FALSE,FALSE,6486,3310,366,FALSE,0,7165980.8,Basic,no pool and has yard,from 1990 to 1999
92462,52,46,22405,9,6,2019,TRUE,FALSE,9584,8587,677,FALSE,8,9257840.9,Luxury,has pool and has yard,after 2011
52325,60,24,76804,6,5,1992,TRUE,FALSE,8987,3149,808,TRUE,4,5238533.2,Luxury,has pool and has yard,from 1990 to 1999
67311,67,10,45626,3,3,1990,TRUE,TRUE,6928,7808,774,TRUE,5,6732249,Basic,no pool and no yard,from 1990 to 1999
45050,99,87,20318,4,8,2013,TRUE,FALSE,5218,8217,144,FALSE,3,4508695.3,Basic,has pool and no yard,after 2011
61534,73,97,22943,9,5,2001,FALSE,FALSE,9265,8974,755,TRUE,6,6159875.1,Basic,no pool and has yard,from 2000 to 2010
84091,50,72,22718,7,5,1993,FALSE,FALSE,2668,4669,766,FALSE,8,8414104.3,Basic,has pool and no yard,from 1990 to 1999
77579,69,97,88798,6,1,1999,TRUE,FALSE,4850,5648,144,TRUE,8,7767797.9,Luxury,has pool and has yard,from 1990 to 1999
25204,31,37,87552,4,10,2020,TRUE,FALSE,6560,4287,116,FALSE,6,2530488,Luxury,has pool and has yard,after 2011
42059,46,62,43289,6,3,2017,TRUE,TRUE,8827,1853,860,TRUE,3,4212125.7,Basic,has pool and no yard,after 2011
38430,43,51,3406,6,4,2021,FALSE,TRUE,1214,606,289,FALSE,8,3846214.1,Basic,has pool and no yard,after 2011
7069,4,89,55300,9,2,2009,TRUE,TRUE,7499,8969,493,TRUE,3,709107.9,Basic,no pool and no yard,from 2000 to 2010
34780,75,9,67297,4,5,2019,FALSE,TRUE,3033,6475,800,TRUE,4,3480536.9,Basic,has pool and no yard,after 2011
12757,100,7,19550,7,8,2020,TRUE,TRUE,6795,9983,738,FALSE,5,1277834,Basic,no pool and has yard,after 2011
33749,74,38,73976,10,7,1999,TRUE,TRUE,1729,7952,616,TRUE,2,3380855.9,Basic,has pool and no yard,from 1990 to 1999
600,37,43,72736,4,7,2011,TRUE,FALSE,6738,5603,866,FALSE,1,63402.1,Basic,no pool and has yard,after 2011
7239,61,83,26435,4,7,1994,TRUE,FALSE,7782,2518,986,FALSE,4,733776.4,Basic,no pool and has yard,from 1990 to 1999
34919,20,84,60113,5,1,1997,FALSE,FALSE,6566,628,408,FALSE,2,3499532.7,Basic,has pool and has yard,from 1990 to 1999
25614,29,27,52970,4,1,1994,TRUE,FALSE,700,377,519,TRUE,9,2563970.4,Basic,no pool and no yard,from 1990 to 1999
51434,64,23,79754,10,2,2012,TRUE,TRUE,2080,9575,753,FALSE,7,5146226.2,Basic,no pool and no yard,after 2011
78960,55,76,23408,8,4,2015,TRUE,TRUE,7126,5012,974,TRUE,0,7900996.5,Basic,has pool and no yard,after 2011
70751,64,41,92268,1,9,2006,TRUE,FALSE,1506,590,794,TRUE,7,7084110.6,Luxury,has pool and has yard,from 2000 to 2010
81870,60,100,58048,3,8,2020,FALSE,FALSE,3632,5960,723,TRUE,3,8198185,Basic,has pool and no yard,after 2011
91559,36,21,82521,6,2,2007,FALSE,TRUE,788,4788,132,TRUE,8,9161130.7,Basic,has pool and no yard,from 2000 to 2010
72098,9,67,91168,2,3,2014,TRUE,FALSE,9080,9356,740,TRUE,9,7216904.4,Basic,has pool and no yard,after 2011
23177,19,52,69373,4,1,2003,FALSE,FALSE,2706,4593,648,TRUE,6,2318776.3,Basic,no pool and no yard,from 2000 to 2010
39517,92,85,51212,4,6,2019,FALSE,TRUE,7618,1172,810,TRUE,9,3953491.9,Basic,no pool and no yard,after 2011
55232,23,8,849,8,3,1991,FALSE,FALSE,1492,5697,625,FALSE,6,5524015.1,Basic,no pool and no yard,from 1990 to 1999
53735,49,92,2423,4,7,2006,FALSE,FALSE,8654,9588,290,TRUE,8,5384554.6,Basic,has pool and no yard,from 2000 to 2010
67753,72,78,31721,3,9,1995,TRUE,TRUE,7480,2068,929,FALSE,6,6789580.5,Luxury,has pool and has yard,from 1990 to 1999
1450,59,1,2317,10,9,2018,TRUE,TRUE,1285,8119,869,TRUE,10,146181.8,Basic,no pool and no yard,after 2011
82141,93,61,74213,3,7,2019,TRUE,TRUE,8785,6602,968,TRUE,4,8225970.9,Luxury,has pool and has yard,after 2011
17868,73,35,48674,4,9,2013,FALSE,FALSE,1718,5498,710,TRUE,2,1792308.3,Basic,no pool and has yard,after 2011
71397,71,93,68199,3,10,1995,TRUE,TRUE,3477,5530,342,FALSE,2,7145471.5,Basic,no pool and no yard,from 1990 to 1999
32623,35,14,80204,10,6,2003,TRUE,FALSE,4633,7551,126,FALSE,8,3267852.3,Basic,has pool and no yard,from 2000 to 2010
23841,71,25,32106,3,7,2010,TRUE,TRUE,7590,5224,564,TRUE,1,2390804,Luxury,has pool and has yard,from 2000 to 2010
16495,94,6,90448,3,10,1991,TRUE,TRUE,2214,1464,929,TRUE,7,1650711.1,Basic,no pool and no yard,from 1990 to 1999
39109,24,67,74477,4,3,2002,TRUE,FALSE,1642,2925,139,FALSE,9,3917652.2,Basic,no pool and has yard,from 2000 to 2010
65151,81,3,66191,7,9,1991,FALSE,FALSE,3218,9119,849,FALSE,4,6522781.1,Basic,has pool and has yard,from 1990 to 1999
61484,91,94,87015,8,8,2013,TRUE,FALSE,5486,3641,766,FALSE,3,6154833.3,Basic,no pool and has yard,after 2011
57160,15,43,40786,8,8,2002,FALSE,FALSE,4018,4871,836,TRUE,2,5724102.2,Basic,has pool and has yard,from 2000 to 2010
13346,57,57,30010,6,8,2021,TRUE,TRUE,2525,545,809,FALSE,8,1336414.1,Basic,no pool and no yard,after 2011
27351,77,36,98465,4,1,1997,TRUE,TRUE,1150,3100,812,TRUE,0,2738851.7,Basic,no pool and no yard,from 1990 to 1999
18466,50,60,89670,5,2,2020,FALSE,FALSE,2475,1376,568,FALSE,5,1849227,Basic,has pool and no yard,after 2011
45441,29,66,21239,3,5,2004,FALSE,TRUE,8121,2996,853,FALSE,6,4552319.4,Basic,no pool and has yard,from 2000 to 2010
55933,15,97,5800,9,8,2001,TRUE,TRUE,7369,6739,686,TRUE,6,5599976.1,Basic,no pool and no yard,from 2000 to 2010
81936,68,92,6143,3,1,2011,TRUE,FALSE,6393,9082,734,FALSE,0,8198107.1,Basic,no pool and no yard,after 2011
18237,70,74,25093,9,6,2011,FALSE,FALSE,7173,9144,498,TRUE,9,1833338.1,Basic,no pool and has yard,after 2011
35631,54,7,77355,10,6,2018,TRUE,TRUE,216,1339,775,TRUE,10,3568002.8,Basic,no pool and has yard,after 2011
99683,12,77,18300,5,8,2002,FALSE,TRUE,4034,2877,787,TRUE,6,9977000.2,Basic,no pool and has yard,from 2000 to 2010
47664,44,77,98008,6,3,2010,TRUE,TRUE,2662,5433,417,FALSE,6,4770073,Basic,no pool and no yard,from 2000 to 2010
62887,45,7,91125,4,3,1993,TRUE,FALSE,292,744,675,FALSE,4,6293710.3,Basic,has pool and no yard,from 1990 to 1999
18470,20,73,9406,3,1,2000,TRUE,FALSE,4089,9245,905,TRUE,6,1852115,Luxury,has pool and has yard,from 2000 to 2010
36031,63,47,74698,9,8,2001,FALSE,TRUE,9701,1325,514,FALSE,4,3612495.1,Basic,no pool and has yard,from 2000 to 2010
22776,84,5,82401,9,9,1993,FALSE,TRUE,2422,1918,544,TRUE,7,2278599.3,Basic,no pool and no yard,from 1990 to 1999
14830,81,1,17641,1,10,1992,TRUE,FALSE,6151,1651,243,FALSE,9,1487488.2,Basic,no pool and has yard,from 1990 to 1999
43944,40,69,5581,10,5,2012,FALSE,TRUE,7466,6556,735,TRUE,6,4403326.2,Basic,no pool and has yard,after 2011
73062,34,38,44770,4,8,2016,FALSE,FALSE,9823,7174,728,TRUE,0,7313447.6,Basic,has pool and has yard,after 2011
84284,76,39,55723,5,1,1998,FALSE,FALSE,4500,4877,480,FALSE,6,8432554.8,Basic,no pool and no yard,from 1990 to 1999
9619,66,91,82543,9,5,1991,FALSE,TRUE,1069,3823,927,FALSE,10,969806.1,Basic,no pool and has yard,from 1990 to 1999
11410,96,96,85454,8,3,2019,FALSE,TRUE,1466,3642,933,TRUE,1,1150663.9,Basic,has pool and no yard,after 2011
29855,63,23,78080,5,5,2000,FALSE,TRUE,3861,7495,204,FALSE,6,2987645,Basic,no pool and no yard,from 2000 to 2010
46716,94,58,25303,8,5,2008,FALSE,TRUE,1361,6855,409,FALSE,3,4674140.8,Basic,no pool and no yard,from 2000 to 2010
77046,69,85,43517,4,2,1992,FALSE,TRUE,8135,1401,648,FALSE,3,7714235.2,Basic,no pool and has yard,from 1990 to 1999
58855,1,66,20127,3,7,2004,FALSE,TRUE,2267,3070,531,FALSE,3,5892518.4,Basic,no pool and no yard,from 2000 to 2010
69165,66,74,51371,4,4,2009,TRUE,TRUE,1543,9736,939,TRUE,9,6926290.9,Basic,no pool and has yard,from 2000 to 2010
57915,25,84,87517,10,4,2007,TRUE,TRUE,3394,4287,640,FALSE,5,5800324.7,Basic,has pool and no yard,from 2000 to 2010
66279,47,9,21934,3,2,2003,FALSE,TRUE,5079,3156,128,FALSE,10,6631365.3,Basic,no pool and has yard,from 2000 to 2010
16068,21,13,21716,8,8,1991,TRUE,TRUE,8893,2564,463,FALSE,2,1611707.1,Basic,no pool and has yard,from 1990 to 1999
74325,50,58,91978,8,10,1994,FALSE,TRUE,4008,1952,275,FALSE,5,7443433.4,Basic,has pool and has yard,from 1990 to 1999
35742,46,47,84138,7,1,2014,TRUE,TRUE,1732,6019,243,FALSE,7,3581003.4,Luxury,has pool and has yard,after 2011
9026,51,28,85842,1,5,2000,TRUE,FALSE,779,9037,482,FALSE,10,904797,Basic,no pool and has yard,from 2000 to 2010
16899,19,14,47328,2,4,2020,FALSE,TRUE,5710,907,302,TRUE,7,1693690,Basic,has pool and no yard,after 2011
99854,82,64,82741,3,8,2009,FALSE,TRUE,4827,2626,918,FALSE,7,9989598.9,Basic,no pool and no yard,from 2000 to 2010
33743,56,29,21945,10,8,2006,FALSE,TRUE,7330,3012,345,FALSE,6,3382812.6,Basic,has pool and has yard,from 2000 to 2010
72798,22,30,61212,9,3,2007,FALSE,FALSE,2209,2120,637,FALSE,7,7290431.7,Basic,has pool and has yard,from 2000 to 2010
86492,21,86,42450,3,7,1992,TRUE,FALSE,7843,5348,463,FALSE,0,8654049.2,Basic,no pool and no yard,from 1990 to 1999
38937,35,77,2867,2,6,2013,TRUE,TRUE,1312,1272,794,FALSE,1,3901433.3,Basic,has pool and no yard,after 2011
24762,22,62,50367,10,10,1999,TRUE,TRUE,5264,3986,502,TRUE,1,2480900.9,Basic,has pool and no yard,from 1990 to 1999
91047,45,65,41065,8,2,1999,FALSE,FALSE,7241,1060,757,TRUE,1,9109264.9,Basic,no pool and no yard,from 1990 to 1999
55527,64,44,61931,4,2,2005,FALSE,TRUE,9385,9507,786,TRUE,9,5557814.5,Basic,has pool and no yard,from 2000 to 2010
70606,17,79,38,7,3,2017,TRUE,FALSE,4927,1285,197,FALSE,5,7070662.7,Luxury,has pool and has yard,after 2011
67327,47,87,26709,9,3,1990,FALSE,TRUE,1097,8551,964,FALSE,10,6741466,Basic,no pool and no yard,from 1990 to 1999
6125,90,29,95979,1,2,2012,TRUE,TRUE,6423,7934,846,FALSE,10,615143.2,Basic,has pool and no yard,after 2011
71833,37,51,58147,2,5,2013,FALSE,FALSE,3772,2045,580,TRUE,6,7185318.3,Basic,has pool and no yard,after 2011
20811,98,71,91543,1,4,1995,FALSE,TRUE,112,53,586,FALSE,3,2090690.5,Basic,has pool and has yard,from 1990 to 1999
7643,98,63,5989,2,3,1999,TRUE,FALSE,2142,7748,983,TRUE,7,765618.9,Basic,no pool and no yard,from 1990 to 1999
16669,95,81,15949,4,3,2007,FALSE,TRUE,6109,1409,239,TRUE,1,1676719.7,Basic,has pool and has yard,from 2000 to 2010
84006,73,97,54296,4,7,2000,TRUE,FALSE,9698,6310,837,FALSE,4,8409827,Luxury,has pool and has yard,from 2000 to 2010
34059,49,90,63489,4,8,1993,FALSE,TRUE,4138,5337,347,FALSE,2,3412619.3,Basic,no pool and no yard,from 1990 to 1999
36131,95,88,72385,8,8,1991,TRUE,FALSE,1046,8463,331,FALSE,8,3620939.1,Basic,no pool and no yard,from 1990 to 1999
8201,18,66,38920,7,2,2007,FALSE,FALSE,4949,5811,185,TRUE,6,826967.7,Basic,has pool and has yard,from 2000 to 2010
38398,84,22,44513,6,8,1994,TRUE,FALSE,1618,9458,404,FALSE,8,3842545.4,Basic,no pool and no yard,from 1990 to 1999
38833,10,14,28075,4,3,2014,TRUE,TRUE,1828,7626,462,TRUE,8,3884619.4,Basic,no pool and no yard,after 2011
41488,22,59,2019,9,1,2013,FALSE,TRUE,2090,4438,650,FALSE,3,4151539.3,Basic,no pool and no yard,after 2011
5205,2,15,71289,7,3,2005,FALSE,FALSE,8342,4705,742,FALSE,0,521650.5,Basic,no pool and no yard,from 2000 to 2010
45066,28,62,85825,9,5,2013,FALSE,FALSE,7092,6757,924,TRUE,0,4508367.3,Basic,no pool and no yard,after 2011
63875,53,14,54408,7,3,1999,TRUE,FALSE,4139,7178,152,FALSE,6,6394774.9,Luxury,has pool and has yard,from 1990 to 1999
25052,88,94,1083,8,6,2020,FALSE,TRUE,718,6346,703,FALSE,10,2515214,Basic,no pool and no yard,after 2011
51457,64,32,68294,3,10,2016,FALSE,FALSE,3016,1891,633,TRUE,4,5150600.6,Basic,has pool and no yard,after 2011
84396,64,96,88421,6,7,2015,TRUE,TRUE,7416,6190,593,TRUE,2,8449333.5,Basic,no pool and no yard,after 2011
64920,98,63,1173,8,8,2016,TRUE,FALSE,2287,8181,426,TRUE,6,6501809.6,Basic,has pool and no yard,after 2011
9166,4,16,26610,4,1,2015,TRUE,TRUE,6838,9438,842,TRUE,8,922847.5,Basic,no pool and has yard,after 2011
85558,48,83,55318,2,9,2017,FALSE,TRUE,7997,655,374,TRUE,0,8568781.7,Basic,no pool and has yard,after 2011
87267,75,81,57714,6,10,2019,FALSE,FALSE,6899,1628,666,TRUE,4,8731940.9,Basic,no pool and has yard,after 2011
96091,100,24,99874,10,3,1999,FALSE,FALSE,6546,4094,373,FALSE,6,9615021.9,Basic,has pool and no yard,from 1990 to 1999
38003,98,6,49191,8,10,2008,FALSE,FALSE,9981,6500,129,FALSE,2,3803545.8,Basic,no pool and has yard,from 2000 to 2010
83120,97,68,93953,6,6,2015,FALSE,TRUE,15,4581,481,FALSE,1,8318749.5,Basic,has pool and no yard,after 2011
20468,100,34,63924,6,4,2003,FALSE,TRUE,9659,6233,802,FALSE,0,2049846.3,Basic,no pool and has yard,from 2000 to 2010
75152,91,37,61836,3,3,2018,TRUE,FALSE,4717,5685,412,FALSE,2,7518709.8,Basic,no pool and has yard,after 2011
32688,9,18,86166,6,5,2013,FALSE,TRUE,9089,6967,398,TRUE,7,3274057.3,Basic,has pool and has yard,after 2011
45868,72,69,33082,5,7,1994,TRUE,TRUE,7668,9908,216,FALSE,10,4600708.4,Luxury,has pool and has yard,from 1990 to 1999
73900,69,36,57473,4,3,2018,FALSE,FALSE,9847,6227,140,TRUE,4,7394635.8,Basic,has pool and no yard,after 2011
16000,41,25,86898,9,4,2007,FALSE,TRUE,7228,764,138,FALSE,6,1606948.7,Basic,has pool and has yard,from 2000 to 2010
1423,59,30,21687,8,4,1993,TRUE,TRUE,3900,1985,879,FALSE,8,149234.3,Basic,has pool and no yard,from 1990 to 1999
29951,37,13,56604,6,8,1995,TRUE,TRUE,5692,9582,762,FALSE,0,3002371.5,Luxury,has pool and has yard,from 1990 to 1999
40231,84,41,64474,4,5,1999,FALSE,FALSE,5700,303,758,TRUE,0,4030226.9,Basic,has pool and no yard,from 1990 to 1999
59517,38,69,93928,8,8,2003,TRUE,FALSE,6831,2741,727,TRUE,6,5958698.3,Basic,no pool and has yard,from 2000 to 2010
98969,26,69,36941,10,8,2003,FALSE,FALSE,3744,5809,992,TRUE,5,9902968.3,Basic,no pool and has yard,from 2000 to 2010
99177,49,41,5100,6,10,2021,TRUE,TRUE,6326,6738,429,TRUE,3,9919217.1,Basic,no pool and no yard,after 2011
89157,46,42,34482,3,6,2009,FALSE,TRUE,3510,781,290,TRUE,4,8920282.9,Basic,no pool and no yard,from 2000 to 2010
67429,60,24,89820,8,7,1991,TRUE,FALSE,3578,3600,858,TRUE,1,6749654.1,Basic,has pool and no yard,from 1990 to 1999
38431,57,60,69199,9,3,2020,TRUE,FALSE,4121,3307,374,FALSE,8,3848467,Basic,no pool and has yard,after 2011
72495,76,59,8723,8,10,1994,TRUE,FALSE,3413,2245,254,TRUE,0,7259025.4,Luxury,has pool and has yard,from 1990 to 1999
85362,77,19,40604,6,5,1997,FALSE,FALSE,7728,8516,186,TRUE,4,8541211.7,Basic,no pool and has yard,from 1990 to 1999
28597,93,47,16237,3,9,1990,FALSE,FALSE,4492,270,714,FALSE,8,2863386,Basic,no pool and no yard,from 1990 to 1999
13687,36,93,2400,3,5,2001,TRUE,TRUE,4148,6383,590,FALSE,5,1376329.1,Luxury,has pool and has yard,from 2000 to 2010
50479,3,73,39939,5,9,2020,FALSE,FALSE,4149,6785,188,FALSE,5,5057657,Basic,has pool and no yard,after 2011
98121,38,57,20289,7,4,1995,FALSE,TRUE,6028,8690,275,FALSE,2,9817494.5,Basic,has pool and no yard,from 1990 to 1999
57736,16,21,83855,9,6,1999,FALSE,TRUE,6099,1511,588,FALSE,2,5775940.9,Basic,no pool and no yard,from 1990 to 1999
